Obj;2267730.772193083
LB;2267508.852265975
Gap;0.00009786
Vehicle;Orig;Dest;Dist;ArrLoadOrig;ArrLoadDest
3;0;1;38.078865529;0;30
1;0;3;39.05124838;0;30
4;0;12;33.06055051;0;60
2;0;13;33.06055051;0;90
3;1;2;12.206555616;30;20
3;2;15;7.071067812;20;0
1;3;16;8;30;0
2;4;5;5.830951895;90;50
2;5;11;29.546573405;50;0
4;6;14;20.808652047;60;0
2;11;19;33.06055051;0;0
4;12;6;20.808652047;60;60
2;13;4;26.627053911;90;90
4;14;19;33.06055051;0;0
3;15;19;34.481879299;0;0
1;16;19;34.481879299;0;0
